GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openelisglobal,org.openelisglobal.testconfiguration.action,SampleTypePanel,25,0,0,0,10,0,5,0,5,0
openelisglobal,org.openelisglobal.datasubmission.validator,DataSubmissionFormValidator,38,0,0,0,8,0,3,0,3,0
openelisglobal,org.openelisglobal.statusofsample.service,StatusOfSampleServiceImpl,167,0,6,0,37,0,14,0,11,0
openelisglobal,org.openelisglobal.audittrail.daoimpl,HistoryDAOImpl,60,4,0,0,16,2,2,1,2,1
openelisglobal,org.openelisglobal.audittrail.daoimpl,AuditTrailServiceImpl,2991,3,330,0,716,1,176,1,11,1
openelisglobal,org.openelisglobal.resultvalidation.controller,BaseResultValidationRetroCIController,172,0,4,0,38,0,8,0,6,0
openelisglobal,org.openelisglobal.resultvalidation.controller,AccessionValidationController,232,0,16,0,64,0,18,0,10,0
openelisglobal,org.openelisglobal.resultvalidation.controller,ResultValidationRetroCController,220,0,18,0,58,0,16,0,7,0
openelisglobal,org.openelisglobal.resultvalidation.controller,BaseResultValidationController,23,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.resultvalidation.controller,AccessionValidationRangeController,1367,0,150,0,289,0,97,0,22,0
openelisglobal,org.openelisglobal.resultvalidation.controller,ResultValidationController,1410,0,144,0,302,0,94,0,22,0
openelisglobal,org.openelisglobal.notificationcenter.form,NotificationCenterForm,3,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.referral.controller.rest,ReferredOutTestsRestController.NonNumericTests,6,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.referral.controller.rest,ReferredOutTestsRestController,71,0,2,0,13,0,6,0,5,0
openelisglobal,org.openelisglobal.barcode.controller.rest,BarcodeConfigurationRestController,362,0,16,0,91,0,17,0,9,0
openelisglobal,org.openelisglobal.common.services.beanAdapters,ResultSaveBeanAdapter,109,0,0,0,28,0,3,0,3,0
